[ikvasilev@sms results]$ cat final_results_h10.csv
Group,r,rmse_01,np_01,mape_01,rmse_03,np_03,mape_03
BASELINE_10K,28.000000,0.023995512722772807,0.277,0.02994701027041209,0.03251908653397165,0.11,0.043331390265860636
BEST,28.026371,0.018551023207823425,0.111,0.03324696719091918,0.026772303082265966,0.041,0.04002978410235792
BEST,27.923670,0.018471860585171578,0.115,0.03542977540926346,0.02428336962234259,0.044,0.04280770635802463
BEST,27.964612,0.02443623075147007,0.099,0.034345286497091926,0.02666578991148098,0.05,0.037792562308577
BEST,28.056342,0.017474847289124684,0.097,0.029366467063444906,0.027570136301907428,0.039,0.036934968712902506
BEST,27.935092,0.019054777260896782,0.101,0.0363809029161056,0.026184475312263724,0.043,0.042786647816356105
BEST,28.061419,0.028524783206741813,0.108,0.036666425601761005,0.03754912434561464,0.041,0.04247874125296245
BEST,28.058092,0.03388559449238713,0.096,0.05289548214415583,0.041491828939510526,0.043,0.06149692824086762
BEST,28.026790,0.023116611892015897,0.11,0.03718489367926696,0.04161924038550955,0.047,0.05267738726657628
BEST,28.011197,0.019628107831848624,0.09,0.03303084280268515,0.03221422222502903,0.028,0.04371508574905992
BEST,28.111136,0.03318348449764851,0.087,0.04637084443255526,0.045402063888982644,0.032,0.05334777805138981
BEST,28.018695,0.016921051562297,0.088,0.03316761913395552,0.02834558824284563,0.03,0.04089312216533862
BEST,27.988957,0.029406111902245305,0.101,0.03912754281661497,0.03353474987472331,0.038,0.04278047716135339
BASELINE_30K,28.000000,0.027187964339819844,0.076,0.03554915110965169,0.03651515380838589,0.028,0.040706796978361215
BEST,28.065500,0.02540913934628214,0.102,0.038932117640044166,0.031597337208155496,0.032,0.04454736339822801
BEST,27.951465,0.018512363640972192,0.095,0.03531086059258865,0.02539097231301051,0.042,0.03785719133895979
BEST,28.059579,0.02867818170256367,0.102,0.036489364158293416,0.030561236009727842,0.042,0.03911026595796198
BEST,28.005793,0.02288445892094352,0.11,0.03945226480828921,0.0322111861522292,0.04,0.047776738025823856
BEST,27.975399,0.02052563298715551,0.104,0.03757496932181785,0.028449604807703085,0.041,0.04306816745931902
BEST,27.918760,0.02636762757602009,0.102,0.04899934065457613,0.03655912237834749,0.041,0.05757217654522853
BEST,28.047543,0.0193325888659043,0.114,0.03460000299549873,0.03225410438796637,0.046,0.04252002857486821
