[ikvasilev@sms results]$ cat all_experiments_h20.csv
Experiment,Recipient_Size,Donor_R,Donor_Size,rmse_01,np_01,mape_01,rmse_03,np_03,mape_03
EXP1_CLEAR,10000,None,0,0.089772,0.288000,0.124132,0.104006,0.136000,0.146449
EXP1_CLEAR,11304,None,0,0.132710,0.352000,0.189161,0.138054,0.167000,0.197651
EXP1_CLEAR,12608,None,0,0.119451,0.291000,0.148678,0.144120,0.127000,0.191304
EXP1_CLEAR,13913,None,0,0.100842,0.303000,0.128278,0.113494,0.143000,0.161257
EXP1_CLEAR,15217,None,0,0.105815,0.297000,0.140757,0.136041,0.139000,0.186659
EXP1_CLEAR,16521,None,0,0.110153,0.297000,0.147790,0.121078,0.142000,0.181272
EXP1_CLEAR,17826,None,0,0.100572,0.260000,0.130770,0.134102,0.114000,0.205721
EXP1_CLEAR,19130,None,0,0.111174,0.290000,0.127411,0.129568,0.111000,0.171458
EXP1_CLEAR,20434,None,0,0.071142,0.261000,0.093666,0.090265,0.116000,0.107569
EXP1_CLEAR,21739,None,0,0.085809,0.249000,0.121735,0.116846,0.094000,0.164831
EXP2_MIX,0,27.9000,10000,0.135080,0.347000,0.180710,0.144308,0.205000,0.213045
EXP1_CLEAR,23043,None,0,0.078033,0.240000,0.101360,0.100340,0.096000,0.142519
EXP1_CLEAR,24347,None,0,0.087061,0.246000,0.096168,0.112099,0.087000,0.137492
EXP2_MIX,909,27.9000,9091,0.256344,0.400000,0.543339,0.267841,0.274000,0.608110
EXP2_MIX,1818,27.9000,8182,0.225086,0.367000,0.436643,0.223466,0.192000,0.439954
EXP1_CLEAR,25652,None,0,0.055340,0.213000,0.086991,0.070781,0.090000,0.104925
EXP2_MIX,2727,27.9000,7273,0.220687,0.383000,0.445767,0.229498,0.231000,0.491298
EXP1_CLEAR,26956,None,0,0.051246,0.226000,0.064209,0.076009,0.074000,0.096680
EXP2_MIX,3636,27.9000,6364,0.123146,0.337000,0.191005,0.128248,0.172000,0.206967
EXP2_MIX,4545,27.9000,5455,0.142732,0.324000,0.215596,0.150318,0.151000,0.212117
EXP1_CLEAR,28260,None,0,0.072884,0.168000,0.089327,0.093369,0.057000,0.128584
EXP2_MIX,5454,27.9000,4546,0.121463,0.303000,0.173817,0.126569,0.178000,0.191830
EXP2_MIX,6363,27.9000,3637,0.134829,0.319000,0.187836,0.139719,0.155000,0.223443
EXP2_MIX,7272,27.9000,2728,0.154501,0.288000,0.212190,0.168817,0.153000,0.253981
EXP1_CLEAR,29565,None,0,0.048841,0.211000,0.070185,0.075276,0.085000,0.100697
EXP2_MIX,8181,27.9000,1819,0.128030,0.318000,0.172579,0.148867,0.164000,0.242621
EXP2_MIX,9090,27.9000,910,0.126195,0.343000,0.185124,0.151538,0.173000,0.230916
EXP1_CLEAR,30869,None,0,0.044405,0.212000,0.067417,0.083845,0.076000,0.109310
EXP2_MIX,10000,None,0,0.089772,0.288000,0.124132,0.104006,0.136000,0.146449
EXP2_MIX,0,28.0001,10000,0.150566,0.350000,0.230637,0.166466,0.188000,0.292260
EXP2_MIX,1818,28.0001,8182,0.154499,0.347000,0.239560,0.161781,0.187000,0.283867
EXP2_MIX,909,28.0001,9091,0.178443,0.321000,0.299246,0.177320,0.205000,0.313556
EXP2_MIX,2727,28.0001,7273,0.128584,0.316000,0.173809,0.126612,0.184000,0.197715
EXP2_MIX,3636,28.0001,6364,0.213847,0.385000,0.402269,0.229712,0.241000,0.456891
EXP1_CLEAR,32173,None,0,0.057763,0.177000,0.073377,0.083366,0.073000,0.104541
EXP2_MIX,4545,28.0001,5455,0.140146,0.395000,0.217973,0.146672,0.197000,0.243529
EXP2_MIX,5454,28.0001,4546,0.135006,0.357000,0.193374,0.132622,0.179000,0.187197
EXP2_MIX,6363,28.0001,3637,0.097571,0.335000,0.131431,0.128172,0.187000,0.191388
EXP1_CLEAR,33478,None,0,0.060981,0.130000,0.070710,0.070452,0.053000,0.086920
EXP2_MIX,7272,28.0001,2728,0.137487,0.330000,0.216947,0.165601,0.175000,0.277318
EXP2_MIX,8181,28.0001,1819,0.113018,0.366000,0.153900,0.132346,0.186000,0.203367
EXP2_MIX,9090,28.0001,910,0.127182,0.339000,0.193703,0.132415,0.186000,0.213041
