[ikvasilev@sms results]$ cat all_experiments_h10.csv
Experiment,Recipient_Size,Donor_R,Donor_Size,rmse_01,np_01,mape_01,rmse_03,np_03,mape_03
EXP1_CLEAR,10000,None,0,0.027634,0.262000,0.038266,0.043639,0.114000,0.049294
EXP1_CLEAR,13043,None,0,0.051326,0.232000,0.041527,0.069458,0.109000,0.065221
EXP1_CLEAR,16086,None,0,0.034384,0.255000,0.038956,0.050184,0.106000,0.053977
EXP1_CLEAR,19130,None,0,0.034353,0.233000,0.040433,0.051119,0.095000,0.061485
EXP1_CLEAR,22173,None,0,0.020719,0.204000,0.032675,0.041854,0.088000,0.057220
EXP1_CLEAR,25217,None,0,0.018827,0.199000,0.032874,0.027256,0.085000,0.040291
EXP1_CLEAR,28260,None,0,0.020117,0.145000,0.029374,0.034168,0.059000,0.038627
EXP1_CLEAR,31304,None,0,0.021136,0.159000,0.028145,0.033325,0.063000,0.037649
EXP1_CLEAR,34347,None,0,0.022546,0.129000,0.028665,0.042436,0.044000,0.036423
EXP1_CLEAR,37391,None,0,0.015721,0.113000,0.028382,0.031255,0.049000,0.036063
EXP1_CLEAR,40434,None,0,0.017909,0.120000,0.025795,0.029788,0.052000,0.033438
EXP2_MIX,0,27.9000,10000,0.055925,0.272000,0.072466,0.061718,0.130000,0.075877
EXP2_MIX,909,27.9000,9091,0.158422,0.390000,0.275872,0.164034,0.277000,0.307282
EXP1_CLEAR,46521,None,0,0.025685,0.090000,0.030373,0.038938,0.026000,0.036025
EXP2_MIX,1818,27.9000,8182,0.087627,0.336000,0.127644,0.108325,0.164000,0.178379
EXP2_MIX,2727,27.9000,7273,0.090878,0.350000,0.137912,0.092372,0.213000,0.146568
EXP2_MIX,3636,27.9000,6364,0.083767,0.257000,0.107559,0.074610,0.129000,0.093289
EXP1_CLEAR,43478,None,0,0.021381,0.132000,0.024801,0.036477,0.059000,0.040691
EXP2_MIX,4545,27.9000,5455,0.040016,0.298000,0.057742,0.048567,0.133000,0.070452
EXP2_MIX,5454,27.9000,4546,0.064485,0.297000,0.067868,0.055444,0.148000,0.067009
EXP2_MIX,7272,27.9000,2728,0.056365,0.255000,0.058646,0.075086,0.133000,0.090468
EXP2_MIX,6363,27.9000,3637,0.046740,0.258000,0.044761,0.056785,0.134000,0.055903
EXP1_CLEAR,49565,None,0,0.022249,0.089000,0.030253,0.039459,0.030000,0.050787
EXP2_MIX,8181,27.9000,1819,0.048158,0.284000,0.045241,0.058990,0.127000,0.070770
EXP2_MIX,9090,27.9000,910,0.046214,0.288000,0.060774,0.059028,0.145000,0.072745
EXP2_MIX,10000,None,0,0.027634,0.262000,0.038266,0.043639,0.114000,0.049294
EXP2_MIX,0,28.0001,10000,0.059406,0.292000,0.088142,0.068111,0.152000,0.097821
EXP2_MIX,909,28.0001,9091,0.093327,0.325000,0.119466,0.099518,0.187000,0.129140
EXP2_MIX,1818,28.0001,8182,0.055249,0.314000,0.087544,0.063701,0.146000,0.104893
EXP1_CLEAR,52608,None,0,0.024738,0.087000,0.028814,0.029404,0.036000,0.035794
EXP2_MIX,3636,28.0001,6364,0.120372,0.365000,0.176449,0.121982,0.224000,0.208694
EXP2_MIX,2727,28.0001,7273,0.043731,0.302000,0.057968,0.062328,0.159000,0.078671
EXP2_MIX,5454,28.0001,4546,0.074007,0.314000,0.064898,0.067660,0.164000,0.074780
