[ikvasilev@sms results]$ cat all_experiments_h1.csv
Experiment,Recipient_Size,Donor_R,Donor_Size,rmse_01,np_01,mape_01,rmse_03,np_03,mape_03
EXP2_MIX,909,28.1000,9091,0.100252,0.624000,0.164701,0.096227,0.495000,0.165121
EXP2_MIX,4545,28.1000,5455,0.012055,0.334000,0.022872,0.015430,0.160000,0.026761
EXP2_MIX,3636,28.1000,6364,0.012284,0.291000,0.020520,0.017867,0.155000,0.023772
EXP2_MIX,6363,28.1000,3637,0.009736,0.269000,0.016928,0.016131,0.126000,0.023099
EXP2_MIX,8181,28.1000,1819,0.009539,0.272000,0.017937,0.028658,0.142000,0.027522
EXP2_MIX,7272,28.1000,2728,0.009780,0.280000,0.016614,0.016471,0.163000,0.020694
EXP2_MIX,9090,28.1000,910,0.010001,0.286000,0.021722,0.013075,0.142000,0.025233
EXP2_MIX,10000,None,0,0.010499,0.239000,0.018281,0.014766,0.105000,0.025263
EXP3_HYBRID,10000,None,0,0.010499,0.239000,0.018281,0.014766,0.105000,0.025263
EXP3_HYBRID,10000,27.9000,1304,0.008410,0.218000,0.017482,0.013471,0.093000,0.023966
EXP3_HYBRID,10000,27.9000,2608,0.009713,0.210000,0.017230,0.028636,0.091000,0.033553
EXP3_HYBRID,10000,27.9000,3913,0.008217,0.184000,0.017428,0.028569,0.072000,0.033381
EXP3_HYBRID,10000,27.9000,5217,0.009643,0.176000,0.018287,0.012764,0.072000,0.022825
EXP1_CLEAR,40000,None,0,0.008609,0.113000,0.014561,0.016846,0.053000,0.017148
EXP3_HYBRID,10000,27.9000,6521,0.007916,0.178000,0.016906,0.027579,0.071000,0.023120
EXP3_HYBRID,10000,27.9000,7826,0.008421,0.160000,0.016899,0.026917,0.062000,0.028884
EXP3_HYBRID,10000,27.9000,10434,0.008133,0.137000,0.017542,0.010867,0.060000,0.020861
EXP3_HYBRID,10000,27.9000,11739,0.008057,0.129000,0.017407,0.009905,0.053000,0.020251
EXP3_HYBRID,10000,27.9000,9130,0.008414,0.149000,0.017464,0.011990,0.058000,0.021198
EXP3_HYBRID,10000,27.9000,13043,0.008180,0.117000,0.017555,0.011826,0.049000,0.021041
EXP3_HYBRID,10000,27.9000,14347,0.008580,0.128000,0.018180,0.011557,0.043000,0.020286
EXP3_HYBRID,10000,27.9000,15652,0.008742,0.126000,0.017529,0.011304,0.033000,0.021089
EXP3_HYBRID,10000,27.9000,16956,0.008810,0.135000,0.017011,0.010026,0.050000,0.019912
EXP3_HYBRID,10000,27.9000,20869,0.009212,0.104000,0.017502,0.013023,0.031000,0.020388
EXP2_MIX,10000,None,0,0.010499,0.239000,0.018281,0.014766,0.105000,0.025263
EXP3_HYBRID,10000,None,0,0.010499,0.239000,0.018281,0.014766,0.105000,0.025263
EXP2_MIX,10000,None,0,0.010499,0.239000,0.018281,0.014766,0.105000,0.025263
EXP3_HYBRID,10000,27.9000,22173,0.009598,0.101000,0.018184,0.011158,0.032000,0.021278
EXP2_MIX,10000,None,0,0.010499,0.239000,0.018281,0.014766,0.105000,0.025263
EXP2_MIX,10000,None,0,0.010499,0.239000,0.018281,0.014766,0.105000,0.025263
EXP3_HYBRID,10000,27.9000,18260,0.008894,0.136000,0.017100,0.010947,0.039000,0.020379
EXP3_HYBRID,10000,27.9000,19565,0.009429,0.114000,0.016999,0.013178,0.031000,0.020786
EXP3_HYBRID,10000,None,0,0.010499,0.239000,0.018281,0.014766,0.105000,0.025263
EXP3_HYBRID,10000,27.9000,24782,0.008957,0.099000,0.017387,0.012645,0.037000,0.020593
EXP3_HYBRID,10000,27.9000,23478,0.009847,0.099000,0.018368,0.013185,0.024000,0.021333
EXP3_HYBRID,10000,27.9900,1304,0.009815,0.235000,0.017111,0.015243,0.108000,0.020960
EXP3_HYBRID,10000,27.9900,2608,0.010811,0.209000,0.019060,0.018160,0.083000,0.023763
EXP3_HYBRID,10000,27.9900,3913,0.007882,0.189000,0.016997,0.013298,0.056000,0.021554
EXP3_HYBRID,10000,27.9900,5217,0.008210,0.181000,0.017056,0.013683,0.065000,0.021946
EXP3_HYBRID,10000,27.9000,16956,0.008810,0.135000,0.017011,0.010026,0.050000,0.019912
EXP3_HYBRID,10000,27.9900,6521,0.008405,0.172000,0.016528,0.012234,0.063000,0.021665
EXP3_HYBRID,10000,27.9000,18260,0.008894,0.136000,0.017100,0.010947,0.039000,0.020379
EXP3_HYBRID,10000,27.9000,27391,0.009027,0.094000,0.017671,0.012780,0.033000,0.020849
EXP3_HYBRID,10000,27.9000,19565,0.009429,0.114000,0.016999,0.013178,0.031000,0.020786
EXP3_HYBRID,10000,27.9900,7826,0.008713,0.155000,0.017442,0.011255,0.066000,0.021922
EXP3_HYBRID,10000,27.9000,20869,0.009212,0.104000,0.017502,0.013023,0.031000,0.020388
EXP3_HYBRID,10000,27.9000,28695,0.009371,0.081000,0.017909,0.012625,0.031000,0.019841
