share,metric_value
0.0,561.7984493896553
0.0333,589.9719250250002
0.0666,597.2371700333433
0.09990000000000002,619.68035632651
0.1332,607.879548505908
0.1665,628.4339793659468
0.1998,624.5272187655385
0.23310000000000003,618.1382932086289
0.2664,652.0916843658943
0.2997,622.1088962032519
0.333,637.6467796216285
0.3663,630.3778190541113
0.3996,612.9689621803018
0.43290000000000006,636.0016882235552
0.46620000000000006,635.9501786584528
0.49950000000000006,647.5475744918338
0.5328,621.385403403029
0.5661,633.269080383356
0.5994,629.8754988314399
0.6327,605.924439547047
0.666,648.2956898166547
0.6993,656.7486550590435
0.7326,624.4236846213923
0.7659,634.4134522688798
0.7992,634.5157552152136
0.8325000000000001,620.4720303168322
0.8658000000000001,627.7991093856299
0.8991000000000001,628.4750874996998
0.9324000000000001,642.1432487603356
0.9657000000000001,624.9743751614352
0.9990000000000001,622.853438839556
1.0,629.6836408966575
share,metric_value
0.0,626.3020661698398
0.0333,628.5163342814831
0.0666,635.922631862582
0.09990000000000002,627.2452600111284
0.1332,648.6615059513525
0.1665,671.8327929473282
0.1998,604.0173174717212
0.23310000000000003,624.0296288508915
0.2664,628.9943241399234
0.2997,610.7386895365556
0.333,620.2520127047752
0.3663,633.6266477649522
0.3996,620.3782701611424
0.43290000000000006,633.4262921697414
0.46620000000000006,634.4675175640348
0.49950000000000006,641.0796502551012
0.5328,643.7460217385112
0.5661,656.1357817832047
0.5994,613.5375737957005
0.6327,622.3989843520326
0.666,619.5614549621615
0.6993,615.8557055843183
0.7326,618.815196456185
0.7659,615.2973020524713
0.7992,611.9479723595916
0.8325000000000001,638.7237589150999
0.8658000000000001,647.037295869052
0.8991000000000001,667.0026219988889
0.9324000000000001,627.2823442060037
0.9657000000000001,631.1725784001204
0.9990000000000001,622.9031757785442
1.0,629.6836408966575
share,metric_value
0.0,604.5942745556339
0.0333,621.637139459004
0.0666,605.1163500093904
0.09990000000000002,643.7850275163784
0.1332,623.1644479900697
0.1665,620.5014225352882
0.1998,618.3891927910646
0.23310000000000003,624.3410021423151
0.2664,628.0201810146186
0.2997,619.4175915592042
0.333,616.3511478354719
0.3663,610.3079641631406
0.3996,628.9399335142774
0.43290000000000006,639.8483202906962
0.46620000000000006,603.0847218592228
0.49950000000000006,615.6524666940237
0.5328,620.083352005488
0.5661,650.01044770274
0.5994,624.3756880136253
0.6327,630.624673050373
0.666,630.5945587000352
0.6993,620.7425011873321
0.7326,612.5304135862032
0.7659,607.3290952624802
0.7992,613.5175874155188
0.8325000000000001,617.9582428529188
0.8658000000000001,640.968932052938
0.8991000000000001,641.1370168028644
0.9324000000000001,661.9961885057681
0.9657000000000001,617.8772395135913
0.9990000000000001,622.8586198807884
1.0,629.6836408966575
share,metric_value
0.0,592.5794140137154
0.0333,588.1933164315157
0.0666,604.8402228856456
0.09990000000000002,605.1119406964272
0.1332,601.4636586933218
0.1665,609.0945759467837
0.1998,605.5870265568486
0.23310000000000003,632.1593849896733
0.2664,634.4398372479117
0.2997,605.0085882957454
0.333,587.412130088479
0.3663,573.5627613847339
0.3996,605.13294885299
0.43290000000000006,620.6821631504428
0.46620000000000006,621.3629795617072
0.49950000000000006,604.5187143755236
0.5328,614.230326357137
0.5661,600.0728724452348
0.5994,585.2977093585278
0.6327,585.8857181172555
0.666,600.0626773805907
0.6993,584.7190136346003
0.7326,580.5535961290133
0.7659,598.5161209386333
0.7992,607.4744467198278
0.8325000000000001,602.2564918938159
0.8658000000000001,621.0664244270057
0.8991000000000001,630.9058875387998
0.9324000000000001,614.756904923782
0.9657000000000001,621.2210926224201
0.9990000000000001,622.8936412631192
1.0,629.6836408966575
share,metric_value
0.0,609.2227833093115
0.0333,637.4128224693125
0.0666,626.3798849914699
0.09990000000000002,631.7935119010707
0.1332,646.8020118069628
0.1665,640.5834910497572
0.1998,675.1063526412128
0.23310000000000003,643.2596614942262
0.2664,639.252261047992
0.2997,657.8319690595048
0.333,647.095707321735
0.3663,651.2727918116365
0.3996,664.1002763272116
0.43290000000000006,654.2852036134065
0.46620000000000006,679.9789300818403
0.49950000000000006,713.5334892006289
0.5328,703.3634010906181
0.5661,708.0579625941407
0.5994,682.5087052982857
0.6327,717.8470279020605
0.666,725.857936258668
0.6993,725.7828524286581
0.7326,731.8422758498114
0.7659,725.5303591981973
0.7992,716.5756881328942
0.8325000000000001,717.8336255953767
0.8658000000000001,736.3326443438068
0.8991000000000001,699.8294747266209
0.9324000000000001,671.4586617931648
0.9657000000000001,667.7238283508079
0.9990000000000001,619.9248557044342
1.0,629.6836408966575
