share,metric_value
0.0,15.14275517106128
0.0333,16.194120930140297
0.0666,16.44201044693114
0.09990000000000002,15.424174301566406
0.1332,15.180928657461147
0.1665,15.95831774770764
0.1998,15.841064110903387
0.23310000000000003,15.744452865420127
0.2664,14.931512286336345
0.2997,14.983428419125294
0.333,14.508648739730306
0.3663,14.982480453055175
0.3996,15.204141074628748
0.43290000000000006,15.601415924555862
0.46620000000000006,15.795642894772223
0.49950000000000006,15.307501013488936
0.5328,15.973898516232628
0.5661,14.803895488099453
0.5994,14.118514342423463
0.6327,15.644499937539244
0.666,14.17004008656499
0.6993,14.923384637103242
0.7326,15.103680845023655
0.7659,14.812854456481501
0.7992,14.698489002467948
0.8325000000000001,15.19073502893369
0.8658000000000001,15.266296414010231
0.8991000000000001,15.841232829017057
0.9324000000000001,15.163402338515978
0.9657000000000001,15.452904272559321
0.9990000000000001,16.10149476771563
1.0,15.733670486311679
share,metric_value
0.0,14.266700579423732
0.0333,15.816595443579319
0.0666,16.213974751127797
0.09990000000000002,16.41594489311913
0.1332,16.986374164928844
0.1665,16.618401467870186
0.1998,15.376774488134126
0.23310000000000003,14.786496574902136
0.2664,15.342228560787158
0.2997,14.515680999888875
0.333,14.876106933565751
0.3663,14.343644356785422
0.3996,15.015513390583049
0.43290000000000006,15.360646378811728
0.46620000000000006,15.587514050772446
0.49950000000000006,16.615572940921055
0.5328,14.909542881717375
0.5661,15.61115513806479
0.5994,16.426358171199528
0.6327,15.512297894350352
0.666,15.077581677586434
0.6993,15.474625214195157
0.7326,15.34550777782285
0.7659,15.48904485084022
0.7992,16.158552067458285
0.8325000000000001,15.516767428652418
0.8658000000000001,15.578886120432125
0.8991000000000001,15.872457732959047
0.9324000000000001,15.779555788404917
0.9657000000000001,15.248615708773057
0.9990000000000001,16.101394639550414
1.0,15.733670486311679
share,metric_value
0.0,15.84469042174229
0.0333,16.306197260915987
0.0666,15.717997687797329
0.09990000000000002,15.328246568505378
0.1332,17.49299587721093
0.1665,17.724018648138383
0.1998,15.652773952992458
0.23310000000000003,15.975751744926853
0.2664,15.545566275211469
0.2997,14.928635651155767
0.333,15.402767062097594
0.3663,15.73149515081925
0.3996,15.357619456054435
0.43290000000000006,15.63817745535772
0.46620000000000006,14.826410021964627
0.49950000000000006,15.00951185405645
0.5328,15.286784096697243
0.5661,14.225309011745999
0.5994,15.65839951224233
0.6327,15.368995823441544
0.666,15.46169067137374
0.6993,15.067064396505431
0.7326,15.635971517336493
0.7659,15.628973256269655
0.7992,16.303182556439882
0.8325000000000001,15.660342974889893
0.8658000000000001,15.566040919260399
0.8991000000000001,15.500243493438628
0.9324000000000001,14.831355509670553
0.9657000000000001,16.18704544878408
0.9990000000000001,16.10149476771563
1.0,15.733670486311679
share,metric_value
0.0,15.062495007720214
0.0333,16.193676449463613
0.0666,15.743303381368762
0.09990000000000002,15.568586126315449
0.1332,16.03319399439866
0.1665,16.18637327158473
0.1998,15.140961766354266
0.23310000000000003,14.6855501561055
0.2664,13.832878305609029
0.2997,14.866974466262594
0.333,15.673937755724433
0.3663,15.727665512080996
0.3996,15.132947874555201
0.43290000000000006,15.08284909903806
0.46620000000000006,15.083022257857586
0.49950000000000006,16.066510480134315
0.5328,15.344552052818454
0.5661,16.095299450463322
0.5994,14.619108798547607
0.6327,14.419486560049808
0.666,13.517694832206317
0.6993,15.583985631047709
0.7326,16.326037270009707
0.7659,16.42000601590458
0.7992,14.772241681152881
0.8325000000000001,15.778678594994748
0.8658000000000001,15.931419799983058
0.8991000000000001,15.023501540864316
0.9324000000000001,16.232853964752497
0.9657000000000001,15.042255012706494
0.9990000000000001,16.101544822776997
1.0,15.733670486311679
share,metric_value
0.0,16.008743667141804
0.0333,16.104485909742653
0.0666,15.229279272246979
0.09990000000000002,16.510109203955448
0.1332,16.325983589746542
0.1665,18.22394774078139
0.1998,16.91130807653634
0.23310000000000003,16.526076880706345
0.2664,16.553322470483792
0.2997,16.04664195846533
0.333,16.827542556952306
0.3663,17.03305760280485
0.3996,17.148535190790643
0.43290000000000006,18.208683443709884
0.46620000000000006,17.374684080616387
0.49950000000000006,16.127367540174383
0.5328,16.815843278055898
0.5661,17.347016704180483
0.5994,18.34101139417458
0.6327,16.879654749352202
0.666,16.779129142257197
0.6993,17.700618206906217
0.7326,16.921856266383386
0.7659,17.089195583028456
0.7992,17.625096477165194
0.8325000000000001,17.63129209824309
0.8658000000000001,16.308946113259694
0.8991000000000001,17.206283864345878
0.9324000000000001,17.679360091930945
0.9657000000000001,16.517418041729908
0.9990000000000001,16.058917289496033
1.0,15.733670486311679
