[ikvasilev@sms results]$ cat final_results_h1.csv
Group,r,rmse_01,np_01,mape_01,rmse_03,np_03,mape_03
BASELINE_10K,28.000000,0.008207391665697696,0.225,0.01700014741584888,0.011685809328027687,0.086,0.02187045501909793
BEST,27.971748,0.013902421226485318,0.073,0.026587511117845783,0.015956012306629838,0.027,0.029211034898996766
BEST,28.059579,0.00989112226878139,0.071,0.019087248803826118,0.01947581509687733,0.03,0.02144630077073091
BEST,28.111136,0.01568457878977008,0.063,0.023293408865329775,0.022334757102271063,0.024,0.0257489741876892
BASELINE_30K,28.000000,0.011590904494151403,0.062,0.017965459702321343,0.016193133907083296,0.022,0.021156879478938267
BEST,27.964612,0.010094178555226535,0.072,0.018755325019907055,0.011613516920198836,0.034,0.020085709306402324
BEST,28.058092,0.013371551826472386,0.069,0.02642431137623538,0.016444864420253787,0.03,0.028425547879521826
BEST,27.988957,0.011510780678669766,0.068,0.01924764866065401,0.013650509782393265,0.029,0.02046813916588402
BEST,28.065500,0.010140558528628264,0.072,0.02118830166890443,0.015336024040151964,0.023,0.023629102094398398
BEST,28.026790,0.01040721313152553,0.091,0.019317632255481314,0.019585386084509212,0.036,0.023132826413387993
BEST,28.018695,0.010630416372039722,0.075,0.018980316548391118,0.012446295928808035,0.027,0.020929610032827516
BEST,28.197739,0.011088585742422462,0.074,0.020821212610573677,0.012086654285581968,0.029,0.022521751804124288
BEST,28.026371,0.010499923384864333,0.076,0.01701881565423114,0.018519103308816173,0.028,0.020849341545586257
BEST,28.114364,0.013785730069034342,0.071,0.02439570954979745,0.014721002048728836,0.031,0.026641652912566066
BEST,27.975399,0.011032854442096321,0.078,0.02052326263219207,0.012219366979070858,0.03,0.022193454120248448
BEST,28.011197,0.011055738270715725,0.064,0.018117208858443264,0.013328384484516077,0.029,0.020322008129546702
BEST,27.951465,0.01071541137701622,0.072,0.019248064524003766,0.012876742940737467,0.028,0.021674959901750602
BEST,28.056342,0.010767921878910333,0.07,0.017552297209945666,0.013540281661399364,0.027,0.019898766666002616
BEST,28.122219,0.014206483386283155,0.077,0.027355281675866254,0.014877368613666628,0.033,0.028066419866915996
BEST,27.923670,0.010314248838793583,0.072,0.01941173764508232,0.011478965026560988,0.03,0.021550262811384547
BEST,28.005793,0.011361286983857893,0.075,0.021823048943537527,0.014393462202325338,0.032,0.02394408474017976
BEST,28.078051,0.010858839646415198,0.077,0.01883938365922288,0.020408251783488495,0.034,0.02208933840306872
BEST,27.850947,0.012244679443625273,0.076,0.023555974758972344,0.01419246365078857,0.027,0.026000747011246612
BEST,28.049115,0.014396785122446198,0.053,0.019257883853560004,0.01604338126598241,0.021,0.02126343976099876
BEST,27.975661,0.0107027667802726,0.079,0.019235972437443166,0.019269947911815508,0.032,0.022167285837754937
BEST,28.030726,0.011139484266042356,0.066,0.018572267021890014,0.012078889283641486,0.028,0.020439121975494405
BEST,27.886049,0.009132451991097855,0.064,0.018394423577670935,0.017158816764986033,0.027,0.02090844310807412
BEST,27.872654,0.010484329120686827,0.078,0.020755446041582762,0.01912604157005201,0.028,0.024972192368258227
BEST,27.988882,0.014976483366358873,0.077,0.028767959630859798,0.020055353600004638,0.027,0.030899995029711056
BEST,28.083117,0.00948286643249306,0.065,0.016094017304902068,0.012104894718250223,0.027,0.019669896188258252
BEST,27.962392,0.011090357167292167,0.07,0.02010799158297769,0.012719288009252637,0.026,0.021817498120834153
BEST,28.047543,0.010867755040068091,0.074,0.02050884916057675,0.011876319032315731,0.032,0.021640782794476274
BEST,28.037734,0.01328117668615286,0.062,0.020832072504763353,0.020964140536022937,0.025,0.0241734947662989
BEST,27.923255,0.010241775348840885,0.073,0.021038259707685976,0.02004281922747539,0.026,0.024906172798536096
BEST,27.918760,0.014342805950617026,0.075,0.024813170604950887,0.021821224498990304,0.033,0.028380259502151426
BEST,28.013510,0.017709743777586263,0.086,0.03368828383072487,0.03697723815862124,0.039,0.03894095535759725
BEST,27.961759,0.010051062852874153,0.071,0.019983494325181306,0.015388175759501447,0.038,0.022194233961002927
BEST,27.999590,0.008935238332270131,0.071,0.017366664659764473,0.01728980697190416,0.025,0.020143708946709287
BEST,27.957170,0.011742550010372622,0.069,0.02131713655146764,0.01346883716650777,0.028,0.02300419293467869
BEST,27.958195,0.010499808946629819,0.077,0.018808408770934624,0.012291996266085972,0.032,0.020920563017703613
BEST,28.035701,0.01096296873649609,0.066,0.01780440711759489,0.0127771478594956,0.033,0.02071725447803368
BEST,28.189177,0.01215722759946766,0.081,0.019271375021692735,0.02203350417448234,0.026,0.02396868705168909
BEST,27.958757,0.0112511441874477,0.074,0.0193339199881334,0.015969803416345848,0.028,0.022460389961154584
BEST,27.921163,0.010646314661368037,0.071,0.01921390876704429,0.012076320795645485,0.033,0.020803940562498898
BEST,27.983330,0.010839855944248735,0.075,0.019273941238622024,0.012475496690822556,0.033,0.02054615844458856
BEST,27.829689,0.010464601564672786,0.082,0.020460851108644325,0.014832127538202391,0.041,0.022337151247471224
