H,Metric,Base_10k,Base_30k,Best_Med,Win_Q50,AbsWin_Q50,Lose_Q50,Best_Def(%),Rand_Def(%),P-Val
1,RMSE,0.008305019718898297,0.012019804621353233,0.011947672436065726,0.010861852390308976,,0.013950097282971348,41.66666666666667,100.0,1.4794202767012586e-15
1,NP,0.226,0.06666666666666667,0.072,0.072,0.064,,0.0,6.521739130434782,1.7867844122942676e-12
1,MAPE,0.017064890078591792,0.01775801216083871,0.021350911663670896,0.016899255930219313,0.01663911907948722,0.02193309180537954,16.666666666666664,93.47826086956522,2.5452577001524787e-14
10,RMSE,0.022271589081284425,0.027548258756411703,0.026450147681711018,0.023091449963038545,0.01949932881478683,0.035506803516867406,25.0,97.82608695652173,2.1263248582386007e-15
10,NP,0.284,0.08266666666666667,0.097,0.097,0.07666666666666666,,0.0,28.26086956521739,1.6742450415287207e-11
10,MAPE,0.031041113779039408,0.03446235643697599,0.04271951024557693,0.030757889014249567,0.028934886369864632,0.04367794303498613,25.0,95.65217391304348,2.6969632446865214e-14
20,RMSE,0.07086889549231261,0.07757945777265231,0.08288253250010072,0.059774176549033435,0.058604626575284716,0.08946657731157402,20.454545454545457,95.65217391304348,1.1282614515384735e-17
20,NP,0.3546666666666667,0.106,0.13066666666666665,0.13066666666666665,0.094,,0.0,21.73913043478261,2.738144095208529e-11
20,MAPE,0.10365464074486008,0.09902829410798503,0.11107184554058948,0.08420552504313573,0.0837692989119867,0.12548669313170432,15.909090909090908,93.47826086956522,4.264747170111638e-18
