[ikvasilev@sms results]$ cat all_experiments_h20.csv
Experiment,Recipient_Size,Donor_R,Donor_Size,rmse_01,np_01,mape_01,rmse_03,np_03,mape_03
EXP3_HYBRID,10000,27.9900,6521,0.050103,0.235000,0.072329,0.058244,0.081000,0.082976
EXP3_HYBRID,10000,27.9000,13043,0.088808,0.186000,0.102066,0.103815,0.084000,0.145825
EXP3_HYBRID,10000,27.9000,11739,0.052981,0.195000,0.076666,0.083651,0.076000,0.099005
EXP3_HYBRID,10000,27.9000,14347,0.088596,0.182000,0.103744,0.101189,0.080000,0.118244
EXP3_HYBRID,10000,27.9000,10434,0.071081,0.216000,0.095722,0.092811,0.085000,0.116744
EXP1_CLEAR,37391,None,0,0.064299,0.086000,0.087647,0.077360,0.032000,0.104322
EXP3_HYBRID,10000,27.9900,7826,0.046069,0.193000,0.070632,0.080588,0.073000,0.086556
EXP3_HYBRID,10000,27.9900,9130,0.055175,0.172000,0.079235,0.081421,0.059000,0.098292
EXP3_HYBRID,10000,None,0,0.058091,0.376000,0.090731,0.074004,0.165000,0.108165
EXP1_CLEAR,38695,None,0,0.044880,0.084000,0.068802,0.050652,0.028000,0.075537
EXP3_HYBRID,10000,27.9900,10434,0.055827,0.188000,0.075491,0.090245,0.063000,0.103922
EXP3_HYBRID,10000,28.0001,1304,0.068532,0.399000,0.089962,0.078956,0.173000,0.120242
EXP1_CLEAR,40000,None,0,0.081308,0.089000,0.090306,0.088904,0.035000,0.104939
EXP3_HYBRID,10000,27.9900,11739,0.060786,0.153000,0.089850,0.097993,0.066000,0.126674
EXP3_HYBRID,10000,28.0001,2608,0.118485,0.367000,0.188458,0.137719,0.130000,0.209194
EXP3_HYBRID,10000,27.9000,15652,0.080532,0.167000,0.105573,0.117623,0.073000,0.149910
EXP3_HYBRID,10000,27.9900,13043,0.085554,0.149000,0.109361,0.105896,0.044000,0.136158
EXP3_HYBRID,10000,27.9000,16956,0.098422,0.145000,0.110197,0.115286,0.058000,0.142759
EXP3_HYBRID,10000,27.9000,18260,0.058971,0.142000,0.077711,0.089546,0.059000,0.100956
EXP3_HYBRID,10000,28.0001,3913,0.107264,0.359000,0.136043,0.128124,0.137000,0.196243
EXP3_HYBRID,10000,28.0001,5217,0.138304,0.322000,0.228721,0.141022,0.123000,0.227127
EXP3_HYBRID,10000,27.9000,19565,0.072820,0.166000,0.089618,0.095492,0.059000,0.123619
EXP3_HYBRID,10000,27.9900,14347,0.073641,0.137000,0.097361,0.095701,0.036000,0.127067
EXP3_HYBRID,10000,28.0001,6521,0.128585,0.311000,0.197257,0.143011,0.131000,0.228840
EXP3_HYBRID,10000,27.9900,15652,0.060556,0.154000,0.086005,0.072741,0.061000,0.098125
EXP3_HYBRID,10000,28.0001,7826,0.129690,0.258000,0.186900,0.150187,0.093000,0.238723
EXP3_HYBRID,10000,27.9900,16956,0.058771,0.148000,0.080939,0.078731,0.068000,0.091773
EXP3_HYBRID,10000,27.9000,22173,0.084165,0.138000,0.100953,0.107006,0.060000,0.124461
EXP3_HYBRID,10000,27.9000,20869,0.082612,0.135000,0.101865,0.110706,0.059000,0.127860
EXP3_HYBRID,10000,28.0001,9130,0.103011,0.269000,0.152027,0.139858,0.080000,0.217386
EXP3_HYBRID,10000,27.9900,18260,0.058611,0.131000,0.077075,0.077041,0.057000,0.093747
EXP3_HYBRID,10000,28.0001,10434,0.074584,0.239000,0.095870,0.107047,0.113000,0.128330
EXP3_HYBRID,10000,27.9000,23478,0.085987,0.120000,0.107179,0.092711,0.048000,0.116203
EXP3_HYBRID,10000,27.9900,19565,0.042683,0.131000,0.067628,0.067956,0.061000,0.096251
EXP3_HYBRID,10000,None,0,0.058091,0.376000,0.090731,0.074004,0.165000,0.108165
EXP3_HYBRID,10000,27.9000,24782,0.062571,0.109000,0.093765,0.076526,0.052000,0.109365
EXP3_HYBRID,10000,28.1000,1304,0.106254,0.526000,0.131761,0.100254,0.235000,0.151114
EXP3_HYBRID,10000,27.9900,20869,0.047521,0.128000,0.067395,0.072013,0.058000,0.086211
EXP3_HYBRID,10000,27.9000,26086,0.077689,0.097000,0.100993,0.090951,0.040000,0.121262
EXP3_HYBRID,10000,28.0001,11739,0.087146,0.219000,0.109050,0.122069,0.089000,0.153429
EXP3_HYBRID,10000,28.0001,13043,0.112961,0.185000,0.142148,0.123653,0.090000,0.149077
EXP3_HYBRID,10000,28.1000,2608,0.072405,0.277000,0.086101,0.076776,0.120000,0.114114
EXP3_HYBRID,10000,27.9900,22173,0.048982,0.141000,0.072507,0.067899,0.060000,0.093306
EXP3_HYBRID,10000,28.1000,3913,0.048167,0.312000,0.072722,0.103692,0.127000,0.115606
EXP3_HYBRID,10000,27.9000,28695,0.082573,0.111000,0.112747,0.113247,0.042000,0.160194
EXP3_HYBRID,10000,27.9900,23478,0.060303,0.124000,0.071985,0.068487,0.051000,0.089437
EXP3_HYBRID,10000,27.9000,27391,0.077608,0.110000,0.111179,0.099220,0.042000,0.132071
EXP3_HYBRID,10000,27.9000,30000,0.082119,0.108000,0.108359,0.098584,0.049000,0.130255
EXP3_HYBRID,10000,28.1000,5217,0.058821,0.268000,0.085774,0.091986,0.098000,0.123349
EXP3_HYBRID,10000,28.0100,10434,0.169928,0.222000,0.229563,0.188234,0.075000,0.287117
EXP3_HYBRID,10000,28.0100,11739,0.160170,0.236000,0.221622,0.169480,0.096000,0.252839
