[ikvasilev@sms results]$ cat final_results_h20.csv
Group,r,rmse_01,np_01,mape_01,rmse_03,np_03,mape_03
BEST,28.018695,0.0665173630903521,0.119,0.09256592110081067,0.08321714300071724,0.056,0.11192909959387484
BEST,27.923670,0.06130010522627011,0.166,0.07972362525784135,0.08243901974739697,0.067,0.10219216699072302
BEST,28.059579,0.05637954283916951,0.135,0.08308319281599695,0.0838858116352061,0.055,0.11207577292072839
BEST,28.056342,0.052427316584618244,0.128,0.0729761347128491,0.07666912276152107,0.057,0.09395121990374938
BEST,28.114364,0.0790728781801399,0.104,0.1103324588129206,0.10038177011168947,0.039,0.13224792846295935
BEST,28.026371,0.039127562167003076,0.154,0.07266042835043234,0.08962977983230838,0.065,0.10103435119220511
BEST,28.005793,0.06400055775602649,0.163,0.09217604838389004,0.08545216166992625,0.049,0.11764471465676576
BEST,27.850947,0.11695877335076825,0.138,0.14986295469405375,0.144286348347947,0.058,0.19494666101882896
BEST,27.872654,0.04944792539943305,0.143,0.08713960181058034,0.08236780868309786,0.062,0.12721542780042122
BEST,28.047543,0.06823282866399703,0.149,0.08028768362303375,0.08445887720053935,0.061,0.10476791238347254
BEST,27.886049,0.06016632308355019,0.118,0.08662936369144215,0.07606040547778152,0.045,0.10886254394783595
BEST,27.988882,0.13534163739308455,0.127,0.17591233403384934,0.16391963379068128,0.045,0.2402772725827002
BEST,28.083117,0.047077609085374485,0.127,0.06348448654546338,0.07090455234004218,0.044,0.07624866633640036
BEST,27.918760,0.10944256113706964,0.112,0.16052906697431077,0.13080741736891233,0.034,0.19003818559922522
BEST,27.999590,0.060614016533017005,0.142,0.07735799989260336,0.0804313801644038,0.057,0.09178989885159872
BEST,27.957170,0.089919956371467,0.136,0.10863091959453659,0.11303720882906224,0.051,0.13013363205917391
BEST,28.037734,0.08234268887347407,0.114,0.11257473678639009,0.08654822464772526,0.046,0.11413680618553862
BEST,27.923255,0.07648551962593275,0.135,0.09004376498215819,0.09714780723699133,0.061,0.11927119773341031
BEST,27.961759,0.09495066328012085,0.117,0.11249051274829651,0.10440931734148777,0.037,0.13079097876139167
BEST,27.958195,0.05795181543128682,0.151,0.07400715147418181,0.07501582259057729,0.057,0.1026772552459587
BEST,28.189177,0.06120661706013776,0.144,0.06490599756817261,0.07618139224897232,0.048,0.08643097331275205
BEST,28.013510,0.1483254942111423,0.111,0.24105587118684527,0.16434030455436668,0.035,0.257622928149227
BEST,28.035701,0.05302573695860502,0.125,0.07075622313366776,0.0739544888872941,0.04,0.09544447629603564
BEST,27.829689,0.05404562280122444,0.158,0.09126483321597215,0.07074850177268126,0.069,0.10421224220857452
BEST,27.958757,0.05847677974765964,0.127,0.08522663131209013,0.08875861992274355,0.045,0.11101341340405739
BEST,28.110938,0.155095326184285,0.144,0.22437479926585105,0.1709553404557475,0.05,0.2564215609412774
BEST,28.061419,0.09510367708978032,0.134,0.11480421238268007,0.11670139606348492,0.055,0.14639105507785816
BEST,27.921163,0.07115460763789515,0.183,0.08086508150295268,0.09169168222575474,0.073,0.09759909809948222
BEST,27.983330,0.05818717133175199,0.136,0.08214703334930477,0.08031330052649278,0.045,0.10342029276663671
BEST,27.962951,0.06255934536587252,0.147,0.085489337136124,0.10364444249945853,0.053,0.12273160537550425
BEST,27.935092,0.0498948274598878,0.161,0.07847693126243349,0.06705707778097778,0.074,0.09959012603213083
BEST,28.046373,0.08288575216423816,0.141,0.09917579739798767,0.10909297229435051,0.045,0.13430960357963012
BEST,27.893925,0.06619160866999768,0.129,0.09304126618694046,0.08794444011187051,0.045,0.12507471429701428
