share,metric_value
0.0,38.46543920620058
0.0333,38.62756828502941
0.0666,38.51596914426655
0.09990000000000002,38.21952212703165
0.1332,38.56078179348626
0.1665,38.69828215293111
0.1998,38.778080711316825
0.23310000000000003,38.64164783431324
0.2664,38.19817060106769
0.2997,38.36572683687249
0.333,38.33133672507542
0.3663,38.148299512200566
0.3996,38.46238679448559
0.43290000000000006,38.4333305883647
0.46620000000000006,38.43965836119678
0.49950000000000006,38.525121308103806
0.5328,38.89216085455706
0.5661,38.908728950483706
0.5994,38.9917991565321
0.6327,38.988975903157126
0.666,39.20901065312068
0.6993,39.052241214308175
0.7326,39.230361750921375
0.7659,39.197400761626994
0.7992,39.32607993126268
0.8325000000000001,39.079428486552686
0.8658000000000001,39.29308211054078
0.8991000000000001,39.156350819531454
0.9324000000000001,39.15108259001655
0.9657000000000001,39.238546517081524
0.9990000000000001,39.07225472406623
1.0,39.00891570753822
share,metric_value
0.0,38.872388316111554
0.0333,39.2766095600534
0.0666,39.408808989048964
0.09990000000000002,39.23212288411544
0.1332,39.456563339129644
0.1665,39.48900267154587
0.1998,38.67118857671092
0.23310000000000003,38.70038320321042
0.2664,38.70236269367306
0.2997,38.85884540077492
0.333,38.7712922005703
0.3663,39.173947030480534
0.3996,39.12777108294926
0.43290000000000006,39.05754044032328
0.46620000000000006,39.098481651197616
0.49950000000000006,39.450821647756996
0.5328,39.4164809800317
0.5661,39.6558170600828
0.5994,39.308918150461636
0.6327,38.817401687063594
0.666,38.59649498682562
0.6993,38.61035457950225
0.7326,38.93565206381856
0.7659,38.958084588743425
0.7992,38.88026042162323
0.8325000000000001,38.47319487734314
0.8658000000000001,38.550146909289076
0.8991000000000001,39.27165817706777
0.9324000000000001,39.10368598306767
0.9657000000000001,39.71939269107803
0.9990000000000001,39.07228476110977
1.0,39.00891570753822
share,metric_value
0.0,38.02078447285242
0.0333,38.45349772271511
0.0666,38.44507739698835
0.09990000000000002,38.60640079163052
0.1332,38.603904322850106
0.1665,38.771940705364656
0.1998,38.113384861940546
0.23310000000000003,38.31613600444899
0.2664,38.62237557230933
0.2997,38.6684720506019
0.333,38.688576986090496
0.3663,38.46957051747944
0.3996,39.002523613006865
0.43290000000000006,38.83844661297203
0.46620000000000006,38.925980691138946
0.49950000000000006,39.08235345297156
0.5328,39.56345653185452
0.5661,39.27929308424985
0.5994,39.12276791825486
0.6327,39.11407309531761
0.666,39.07698985517952
0.6993,39.398269181347715
0.7326,39.58293442952073
0.7659,39.774841446997435
0.7992,39.66503864505587
0.8325000000000001,41.13172753797774
0.8658000000000001,40.79225250180011
0.8991000000000001,40.4412583056738
0.9324000000000001,40.13538203633366
0.9657000000000001,39.78535727038277
0.9990000000000001,39.07127346845195
1.0,39.00891570753822
