share,metric_value
0.0,611.9282669858276
0.0333,612.1301721106787
0.0666,612.3255082924035
0.09990000000000002,605.4903440116484
0.1332,624.9774103961843
0.1665,640.8264521851977
0.1998,636.1549934714013
0.23310000000000003,649.8767282598765
0.2664,631.6143232464308
0.2997,599.6937081859892
0.333,604.5215393319866
0.3663,621.4309660552246
0.3996,639.2943453320463
0.43290000000000006,643.384754879965
0.46620000000000006,657.1095741606904
0.49950000000000006,650.562058549581
0.5328,615.2146089070104
0.5661,635.3210695099442
0.5994,645.2471770508886
0.6327,674.7811150276607
0.666,669.1173119098188
0.6993,642.8109773929989
0.7326,634.033281627962
0.7659,636.8998308259931
0.7992,657.0865098265831
0.8325000000000001,635.5392503886666
0.8658000000000001,649.861943009129
0.8991000000000001,639.080512750695
0.9324000000000001,655.0118369438705
0.9657000000000001,640.9791657661306
0.9990000000000001,622.8546423811358
1.0,629.6836408966575
share,metric_value
0.0,626.3020661698398
0.0333,628.5163342814831
0.0666,635.922631862582
0.09990000000000002,627.2452600111284
0.1332,648.6615059513525
0.1665,671.8327929473282
0.1998,604.0173174717212
0.23310000000000003,624.0296288508915
0.2664,628.9943241399234
0.2997,610.7386895365556
0.333,620.2520127047752
0.3663,633.6266477649522
0.3996,620.3782701611424
0.43290000000000006,633.4262921697414
0.46620000000000006,634.4675175640348
0.49950000000000006,641.0796502551012
0.5328,643.7460217385112
0.5661,656.1357817832047
0.5994,613.5375737957005
0.6327,622.3989843520326
0.666,619.5614549621615
0.6993,615.8557055843183
0.7326,618.815196456185
0.7659,615.2973020524713
0.7992,611.9479723595916
0.8325000000000001,638.7237589150999
0.8658000000000001,647.037295869052
0.8991000000000001,667.0026219988889
0.9324000000000001,627.2823442060037
0.9657000000000001,631.1725784001204
0.9990000000000001,622.9031757785442
1.0,629.6836408966575
share,metric_value
0.0,623.1832341883186
0.0333,636.3550291038647
0.0666,626.1401114376605
0.09990000000000002,637.1252720183742
0.1332,665.2409792273298
0.1665,655.3671672807732
0.1998,604.242926085989
0.23310000000000003,643.9739306441776
0.2664,624.0781970928496
0.2997,630.8416890274731
0.333,660.503354992234
0.3663,674.7480116914962
0.3996,675.924355718249
0.43290000000000006,703.5524388317319
0.46620000000000006,692.7888380787101
0.49950000000000006,695.6530672423988
0.5328,699.9198759180397
0.5661,704.8447520265772
0.5994,713.4091109093162
0.6327,728.6546385993778
0.666,710.3110770617047
0.6993,720.8994045716685
0.7326,696.6070536781745
0.7659,672.3304696195432
0.7992,680.1432164847362
0.8325000000000001,692.2817328229536
0.8658000000000001,689.339670797235
0.8991000000000001,672.1574676582356
0.9324000000000001,656.7432979551716
0.9657000000000001,626.5098464760259
0.9990000000000001,622.6098845967965
1.0,629.6836408966575
