
share,metric_value
0.0,276.51261961796683
0.0333,285.7179791177405
0.0666,284.14750644956075
0.09990000000000002,284.1666901424731
0.1332,271.75662619811203
0.1665,266.5727026048618
0.1998,271.5586692141997
0.23310000000000003,272.4135736567484
0.2664,274.1972358822359
0.2997,274.4573951526111
0.333,276.6468695643366
0.3663,275.1607400926684
0.3996,280.59913318990493
0.43290000000000006,276.95938518021825
0.46620000000000006,273.9952109161874
0.49950000000000006,272.1730597415367
0.5328,281.16634155353495
0.5661,275.91606671840674
0.5994,275.4310096859766
0.6327,273.8010705725604
0.666,274.4085817041677
0.6993,271.49407811707397
0.7326,269.2262854398035
0.7659,272.2434443137546
0.7992,277.1365845341584
0.8325000000000001,275.5998891599115
0.8658000000000001,280.80426561699164
0.8991000000000001,273.3585357497156
0.9324000000000001,277.33263359720576
0.9657000000000001,272.9953203213534
0.9990000000000001,272.7224128425927
1.0,269.8211459659314
share,metric_value
0.0,270.22380597753414
0.0333,274.9063845476862
0.0666,273.9962345732689
0.09990000000000002,272.501303176328
0.1332,276.385413522714
0.1665,278.290381551596
0.1998,283.96509648086806
0.23310000000000003,280.6255938551243
0.2664,287.35860443750136
0.2997,283.0519400945848
0.333,284.02360734045703
0.3663,291.28555878080266
0.3996,282.43878214094576
0.43290000000000006,273.9888707581411
0.46620000000000006,271.86860374988976
0.49950000000000006,272.0135517557869
0.5328,272.22209773249665
0.5661,260.14924633420156
0.5994,279.9123122400605
0.6327,275.8413320903983
0.666,273.8083048581196
0.6993,279.0774735641909
0.7326,278.5132956652131
0.7659,281.84293607547863
0.7992,291.14913738837566
0.8325000000000001,283.6821026039912
0.8658000000000001,285.84593275311835
0.8991000000000001,281.8780407837198
0.9324000000000001,272.3444198546632
0.9657000000000001,268.03097157774005
0.9990000000000001,272.72059954810027
1.0,269.8211459659314
share,metric_value
0.0,282.0476749111269
0.0333,274.1091184144331
0.0666,280.8704130751667
0.09990000000000002,280.38317637728517
0.1332,280.0323066751311
0.1665,284.34887389892276
0.1998,283.891590794531
0.23310000000000003,275.7886758796695
0.2664,275.91167680343705
0.2997,267.7679929979642
0.333,275.60689049803864
0.3663,268.9041995706487
0.3996,265.55094196361034
0.43290000000000006,251.8755887459087
0.46620000000000006,263.6639283221295
0.49950000000000006,262.1007500695029
0.5328,267.4687924025749
0.5661,265.21191848176875
0.5994,270.79964566904397
0.6327,268.02985579684935
0.666,269.03911990151033
0.6993,272.7171713030506
0.7326,272.9221188594213
0.7659,266.0795911406064
0.7992,272.99494370918353
0.8325000000000001,263.84700959511235
0.8658000000000001,260.3283911332987
0.8991000000000001,264.7634467479883
0.9324000000000001,261.6643015387218
0.9657000000000001,268.4007858461824
0.9990000000000001,272.7491976810121
1.0,269.8211459659314
